filename,duration,totalBusyTime
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_5.txt,230,14076
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_1.txt,230,10869
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_2.txt,219,9832
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_3.txt,224,10075
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_4.txt,216,10985
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_5.txt,225,10830
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_1.txt,209,8160
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_2.txt,205,8220
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_3.txt,199,8440
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_4.txt,203,7987
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_5.txt,207,8487
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_1.txt,209,5571
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_2.txt,197,6000
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_3.txt,200,6341
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_4.txt,211,6131
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_5.txt,200,6337
.\TestInstances\c1\exp1_200_200_10_1.txt,58,363
.\TestInstances\c1\exp1_200_200_10_2.txt,43,249
.\TestInstances\c1\exp1_200_200_10_3.txt,45,275
.\TestInstances\c1\exp1_200_200_10_4.txt,55,310
.\TestInstances\c1\exp1_200_200_10_5.txt,53,277
.\TestInstances\c1\exp1_200_200_20_1.txt,57,551
.\TestInstances\c1\exp1_200_200_20_2.txt,61,397
.\TestInstances\c1\exp1_200_200_20_3.txt,75,580
.\TestInstances\c1\exp1_200_200_20_4.txt,66,552
.\TestInstances\c1\exp1_200_200_20_5.txt,64,536
.\TestInstances\c1\exp1_200_200_40_1.txt,66,655
.\TestInstances\c1\exp1_200_200_40_2.txt,70,665
.\TestInstances\c1\exp1_200_200_40_3.txt,78,995
.\TestInstances\c1\exp1_200_200_40_4.txt,62,680
.\TestInstances\c1\exp1_200_200_40_5.txt,72,689
.\TestInstances\c1\exp1_200_200_5_1.txt,39,223
.\TestInstances\c1\exp1_200_200_5_2.txt,48,217
.\TestInstances\c1\exp1_200_200_5_3.txt,43,324
.\TestInstances\c1\exp1_200_200_5_4.txt,44,240
.\TestInstances\c1\exp1_200_200_5_5.txt,42,228
.\TestInstances\c1\exp1_200_200_80_1.txt,118,2113
.\TestInstances\c1\exp1_200_200_80_2.txt,71,1205
