filename,duration,totalBusyTime
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_1.txt,530,28748
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_2.txt,413,31221
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_3.txt,377,29878
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_4.txt,373,29482
.\TestInstances\a2\n1000 t1000 LonLr\cap100_n1000_t1000_LonLr_5.txt,369,29932
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_1.txt,322,20438
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_2.txt,311,20802
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_3.txt,314,20971
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_4.txt,308,19951
.\TestInstances\a2\n1000 t1000 LonSm\cap100_n1000_t1000_LonSm_5.txt,306,20188
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_1.txt,285,17890
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_2.txt,284,17194
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_3.txt,296,17307
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_4.txt,303,18365
.\TestInstances\a2\n1000 t1000 ShLr\cap100_n1000_t1000_ShLr_5.txt,302,18370
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_1.txt,277,12637
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_2.txt,266,11880
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_3.txt,275,13576
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_4.txt,269,12163
.\TestInstances\a2\n1000 t1000 ShSm\cap100_n1000_t1000_ShSm_5.txt,254,11838
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_1.txt,329,30826
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_2.txt,319,31336
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_3.txt,322,30166
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_4.txt,319,29391
.\TestInstances\a2\n1000 t1200 LonLr\cap100_n1000_t1200_LonLr_5.txt,328,31350
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_1.txt,291,21641
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_2.txt,296,20884
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_3.txt,304,22534
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_4.txt,296,20768
.\TestInstances\a2\n1000 t1200 LonSm\cap100_n1000_t1200_LonSm_5.txt,317,22533
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_1.txt,269,17299
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_2.txt,289,18390
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_3.txt,293,18508
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_4.txt,266,18343
.\TestInstances\a2\n1000 t1200 ShLr\cap100_n1000_t1200_ShLr_5.txt,286,17765
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_1.txt,271,13447
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_2.txt,267,12482
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_3.txt,262,13014
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_4.txt,263,12475
.\TestInstances\a2\n1000 t1200 ShSm\cap100_n1000_t1200_ShSm_5.txt,264,13317
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_1.txt,225,13596
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_2.txt,215,13679
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_3.txt,232,13818
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_4.txt,233,14084
.\TestInstances\a2\n500 t500 LonLr\cap100_n500_t500_LonLr_5.txt,226,13842
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_1.txt,210,9848
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_2.txt,208,10128
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_3.txt,203,9857
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_4.txt,214,10278
.\TestInstances\a2\n500 t500 LonSm\cap100_n500_t500_LonSm_5.txt,213,10393
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_1.txt,192,7942
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_2.txt,186,8068
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_3.txt,189,7800
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_4.txt,199,8186
.\TestInstances\a2\n500 t500 ShLr\cap100_n500_t500_ShLr_5.txt,190,8183
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_1.txt,175,6089
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_2.txt,180,5451
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_3.txt,169,5838
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_4.txt,181,5926
.\TestInstances\a2\n500 t500 ShSm\cap100_n500_t500_ShSm_5.txt,176,5636
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_1.txt,222,15234
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_2.txt,217,14510
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_3.txt,219,14562
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_4.txt,217,13829
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_5.txt,216,13854
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_1.txt,206,10875
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_2.txt,195,9833
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_3.txt,200,10072
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_4.txt,203,10955
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_5.txt,201,10832
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_1.txt,190,8139
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_2.txt,187,8062
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_3.txt,179,8385
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_4.txt,179,7896
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_5.txt,183,8446
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_1.txt,176,5565
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_2.txt,169,6000
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_3.txt,173,6347
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_4.txt,165,6098
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_5.txt,173,6340
.\TestInstances\c1\exp1_200_200_10_1.txt,43,295
.\TestInstances\c1\exp1_200_200_10_2.txt,36,249
.\TestInstances\c1\exp1_200_200_10_3.txt,45,300
.\TestInstances\c1\exp1_200_200_10_4.txt,45,300
.\TestInstances\c1\exp1_200_200_10_5.txt,38,264
.\TestInstances\c1\exp1_200_200_20_1.txt,57,441
.\TestInstances\c1\exp1_200_200_20_2.txt,56,452
.\TestInstances\c1\exp1_200_200_20_3.txt,56,457
.\TestInstances\c1\exp1_200_200_20_4.txt,67,445
.\TestInstances\c1\exp1_200_200_20_5.txt,52,394
.\TestInstances\c1\exp1_200_200_40_1.txt,85,1118
.\TestInstances\c1\exp1_200_200_40_2.txt,68,673
.\TestInstances\c1\exp1_200_200_40_3.txt,74,845
.\TestInstances\c1\exp1_200_200_40_4.txt,80,676
.\TestInstances\c1\exp1_200_200_40_5.txt,75,716
.\TestInstances\c1\exp1_200_200_5_1.txt,46,412
.\TestInstances\c1\exp1_200_200_5_2.txt,44,256
.\TestInstances\c1\exp1_200_200_5_3.txt,37,231
.\TestInstances\c1\exp1_200_200_5_4.txt,41,240
.\TestInstances\c1\exp1_200_200_5_5.txt,37,216
.\TestInstances\c1\exp1_200_200_80_1.txt,101,1223
.\TestInstances\c1\exp1_200_200_80_2.txt,105,2044
.\TestInstances\c1\exp1_200_200_80_3.txt,97,1384
.\TestInstances\c1\exp1_200_200_80_4.txt,88,1039
.\TestInstances\c1\exp1_200_200_80_5.txt,95,2463
.\TestInstances\c1\exp1_400_400_10_1.txt,60,464
.\TestInstances\c1\exp1_400_400_10_2.txt,53,424
.\TestInstances\c1\exp1_400_400_10_3.txt,69,494
.\TestInstances\c1\exp1_400_400_10_4.txt,57,499
.\TestInstances\c1\exp1_400_400_10_5.txt,77,513
.\TestInstances\c1\exp1_400_400_20_1.txt,98,762
.\TestInstances\c1\exp1_400_400_20_2.txt,89,924
.\TestInstances\c1\exp1_400_400_20_3.txt,58,450
.\TestInstances\c1\exp1_400_400_20_4.txt,88,761
.\TestInstances\c1\exp1_400_400_20_5.txt,75,654
.\TestInstances\c1\exp1_400_400_40_1.txt,120,1415
.\TestInstances\c1\exp1_400_400_40_2.txt,118,1171
.\TestInstances\c1\exp1_400_400_40_3.txt,111,1513
.\TestInstances\c1\exp1_400_400_40_4.txt,101,1173
.\TestInstances\c1\exp1_400_400_40_5.txt,114,1240
.\TestInstances\c1\exp1_400_400_5_1.txt,63,710
.\TestInstances\c1\exp1_400_400_5_2.txt,64,415
.\TestInstances\c1\exp1_400_400_5_3.txt,53,408
.\TestInstances\c1\exp1_400_400_5_4.txt,60,540
.\TestInstances\c1\exp1_400_400_5_5.txt,53,412
.\TestInstances\c1\exp1_400_400_80_1.txt,166,3563
.\TestInstances\c1\exp1_400_400_80_2.txt,137,1921
.\TestInstances\c1\exp1_400_400_80_3.txt,137,1664
.\TestInstances\c1\exp1_400_400_80_4.txt,134,2926
.\TestInstances\c1\exp1_400_400_80_5.txt,137,2431
.\TestInstances\c1\exp1_600_600_10_1.txt,74,627
.\TestInstances\c1\exp1_600_600_10_2.txt,75,663
.\TestInstances\c1\exp1_600_600_10_3.txt,79,664
.\TestInstances\c1\exp1_600_600_10_4.txt,91,726
.\TestInstances\c1\exp1_600_600_10_5.txt,80,684
.\TestInstances\c1\exp1_600_600_20_1.txt,113,1026
.\TestInstances\c1\exp1_600_600_20_2.txt,96,831
.\TestInstances\c1\exp1_600_600_20_3.txt,110,898
.\TestInstances\c1\exp1_600_600_20_4.txt,118,857
.\TestInstances\c1\exp1_600_600_20_5.txt,85,716
.\TestInstances\c1\exp1_600_600_40_1.txt,133,1434
.\TestInstances\c1\exp1_600_600_40_2.txt,139,1641
.\TestInstances\c1\exp1_600_600_40_3.txt,145,1644
.\TestInstances\c1\exp1_600_600_40_4.txt,139,1636
.\TestInstances\c1\exp1_600_600_40_5.txt,144,1572
.\TestInstances\c1\exp1_600_600_5_1.txt,75,615
.\TestInstances\c1\exp1_600_600_5_2.txt,76,618
.\TestInstances\c1\exp1_600_600_5_3.txt,73,620
.\TestInstances\c1\exp1_600_600_5_4.txt,72,608
.\TestInstances\c1\exp1_600_600_5_5.txt,73,626
.\TestInstances\c1\exp1_600_600_80_1.txt,178,2820
.\TestInstances\c1\exp1_600_600_80_2.txt,176,2597
.\TestInstances\c1\exp1_600_600_80_3.txt,167,2565
.\TestInstances\c1\exp1_600_600_80_4.txt,154,2496
.\TestInstances\c1\exp1_600_600_80_5.txt,172,2335
.\TestInstances\c2\exp2_1200_1200_10_1.txt,152,1325
.\TestInstances\c2\exp2_1200_1200_10_2.txt,134,1235
.\TestInstances\c2\exp2_1200_1200_10_3.txt,142,1289
.\TestInstances\c2\exp2_1200_1200_10_4.txt,136,1231
.\TestInstances\c2\exp2_1200_1200_10_5.txt,158,1260
.\TestInstances\c2\exp2_1200_1200_20_1.txt,181,1707
.\TestInstances\c2\exp2_1200_1200_20_2.txt,180,1599
.\TestInstances\c2\exp2_1200_1200_20_3.txt,169,2351
.\TestInstances\c2\exp2_1200_1200_20_4.txt,153,2169
.\TestInstances\c2\exp2_1200_1200_20_5.txt,160,1512
.\TestInstances\c2\exp2_1200_1200_5_1.txt,154,2080
.\TestInstances\c2\exp2_1200_1200_5_2.txt,144,1213
.\TestInstances\c2\exp2_1200_1200_5_3.txt,144,1236
.\TestInstances\c2\exp2_1200_1200_5_4.txt,149,1249
.\TestInstances\c2\exp2_1200_1200_5_5.txt,153,1225
.\TestInstances\c2\exp2_1600_1600_10_1.txt,206,1691
.\TestInstances\c2\exp2_1600_1600_10_2.txt,195,1710
.\TestInstances\c2\exp2_1600_1600_10_3.txt,201,1650
.\TestInstances\c2\exp2_1600_1600_10_4.txt,198,1679
.\TestInstances\c2\exp2_1600_1600_10_5.txt,225,1825
.\TestInstances\c2\exp2_1600_1600_20_1.txt,212,1897
.\TestInstances\c2\exp2_1600_1600_20_2.txt,247,2452
