filename,duration,totalBusyTime
.\TestInstances\a2\n500 t600 LonLr\cap100_n500_t600_LonLr_5.txt,48,14085
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_1.txt,46,10875
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_2.txt,47,9862
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_3.txt,44,10075
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_4.txt,48,10997
.\TestInstances\a2\n500 t600 LonSm\cap100_n500_t600_LonSm_5.txt,46,10832
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_1.txt,43,8188
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_2.txt,42,8231
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_3.txt,44,8446
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_4.txt,41,8076
.\TestInstances\a2\n500 t600 ShLr\cap100_n500_t600_ShLr_5.txt,42,8496
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_1.txt,41,5588
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_2.txt,47,6000
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_3.txt,43,6365
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_4.txt,40,6139
.\TestInstances\a2\n500 t600 ShSm\cap100_n500_t600_ShSm_5.txt,47,6344
.\TestInstances\c1\exp1_200_200_10_1.txt,21,1821
.\TestInstances\c1\exp1_200_200_10_2.txt,22,1673
.\TestInstances\c1\exp1_200_200_10_3.txt,24,1720
.\TestInstances\c1\exp1_200_200_10_4.txt,19,1804
.\TestInstances\c1\exp1_200_200_10_5.txt,25,1774
.\TestInstances\c1\exp1_200_200_20_1.txt,24,3081
.\TestInstances\c1\exp1_200_200_20_2.txt,29,2905
.\TestInstances\c1\exp1_200_200_20_3.txt,24,2457
.\TestInstances\c1\exp1_200_200_20_4.txt,23,2684
.\TestInstances\c1\exp1_200_200_20_5.txt,25,2703
.\TestInstances\c1\exp1_200_200_40_1.txt,36,5088
.\TestInstances\c1\exp1_200_200_40_2.txt,27,4792
.\TestInstances\c1\exp1_200_200_40_3.txt,38,5102
.\TestInstances\c1\exp1_200_200_40_4.txt,28,5493
.\TestInstances\c1\exp1_200_200_40_5.txt,27,4874
.\TestInstances\c1\exp1_200_200_5_1.txt,19,1129
.\TestInstances\c1\exp1_200_200_5_2.txt,18,1047
.\TestInstances\c1\exp1_200_200_5_3.txt,27,1119
