inst,NumVars,NumConstrs,NumNZs,val_heu,v,bound,v_relaxed,t_model,t_heu,t_solve,t_relax,solution
exp2_800_800_20_1.txt,16263,8116,222160,9320,8900,8895,8881.39,0.343236,0.0937963,1800.02,0.675128,-
exp2_800_800_20_2.txt,16321,8216,221343,9267,8869,8865,8850.52,0.351359,0.0882556,1800.02,0.699555,-
exp2_800_800_20_3.txt,15872,8022,210289,9019,8605,8603,8587.34,0.319662,0.0882144,1800.03,0.710434,-
exp2_800_800_20_4.txt,16511,8438,228752,9256,8879,8875,8866.51,0.36203,0.0893297,1800.04,0.762487,-
exp2_800_800_20_5.txt,16077,8066,211623,9468,8955,8950,8937.08,0.319055,0.0944741,1800.02,0.743786,-
exp2_1200_1200_20_1.txt,24539,12462,336398,14107,13357,13343,13328.1,0.528238,0.167022,1800.01,1.2889,-
exp2_1200_1200_20_2.txt,24319,12030,314363,13623,13085,13070,13054.7,0.451358,0.17353,1800.02,1.29179,-
exp2_1200_1200_20_3.txt,24263,12198,332409,13581,12989,12972,12955.4,0.475938,0.171276,1800.04,1.39474,-
exp2_1200_1200_20_4.txt,23959,11748,308898,13639,13077,13062,13048.9,0.448533,0.17788,1800.02,1.42012,-
exp2_1200_1200_20_5.txt,23472,11820,305262,13512,12893,12883,12866.5,0.449252,0.177578,1800.02,1.09355,-
exp2_1600_1600_20_1.txt,31180,16058,407042,17588,16859,16837,16815.8,0.621161,0.289426,1800.01,1.78687,-
exp2_1600_1600_20_2.txt,31801,15678,406195,17830,17044,17018,17002.8,0.620277,0.294192,1800.02,1.76116,-
exp2_1600_1600_20_3.txt,31850,15702,419967,18122,17174,17142,17122.3,0.614202,0.282326,1800.01,1.64082,-
exp2_1600_1600_20_4.txt,32569,16458,432438,18316,17558,17519,17500.1,0.665884,0.292228,1800.05,2.0395,-
exp2_1600_1600_20_5.txt,32148,16818,448265,18010,17191,17171,17154.9,0.689859,0.30003,1800.01,1.98063,-
exp2_2000_2000_20_1.txt,41217,20834,564959,23057,22030,21979,21961.9,0.880625,0.460121,1800.05,2.9154,-
exp2_2000_2000_20_2.txt,40942,20800,557915,22848,21909,21871,21853.2,0.888306,0.448606,1800.03,3.26581,-
exp2_2000_2000_20_3.txt,41561,21194,578964,23307,22229,22202,22178.3,0.893246,0.455855,1800.09,2.94549,-
exp2_2000_2000_20_4.txt,40801,20386,550369,22539,21596,21557,21537.1,0.860631,0.442694,1800.04,2.60739,-
exp2_2000_2000_20_5.txt,39542,19930,519208,22203,21234,21204,21182.4,0.830595,0.439176,1800.06,2.5242,-
exp2_2400_2400_20_1.txt,47196,23204,601385,26480,25224,25188,25157.3,1.00823,0.645146,1800.04,2.98303,-
exp2_2400_2400_20_2.txt,47063,23922,618372,26695,25506,25459,25430.2,1.00496,0.620052,1800.12,3.48525,-
exp2_2400_2400_20_3.txt,49070,25360,684470,27305,26073,26015,25992.2,1.12424,0.646715,1800.06,4.25558,-
exp2_2400_2400_20_4.txt,49649,25294,693566,27575,26407,26353,26327.6,1.07457,0.625639,1800.01,3.89822,-
exp2_2400_2400_20_5.txt,48541,24494,645977,27461,26259,26205,26157.3,1.08992,0.61554,1800.06,3.76972,-
