inst,NumVars,NumConstrs,NumNZs,val_heu,v,bound,v_relaxed,t_model,t_heu,t_solve,t_relax,solution
exp1_200_200_5_1.txt,1055,652,5168,716,677,677,675.5,0.0155518,0.00686479,0.0297401,0.00900483,-
exp1_200_200_5_2.txt,965,636,4433,652,614,614,609,0.0130036,0.00694156,0.0285101,0.0073421,-
exp1_200_200_5_3.txt,1130,704,5658,734,683,683,681.875,0.0148013,0.00638318,0.036638,0.0103874,-
exp1_200_200_5_4.txt,1107,770,6116,744,696,696,693.5,0.0155425,0.00674963,0.0386689,0.0119228,-
exp1_200_200_5_5.txt,1007,704,5088,696,659,659,656.083,0.0140548,0.00696039,0.0344298,0.00860381,-
exp1_400_400_5_1.txt,2119,1476,11443,1330,1285,1285,1279.5,0.0322373,0.0220754,0.0611234,0.0197053,-
exp1_400_400_5_2.txt,2179,1350,10446,1394,1324,1324,1318.25,0.0427229,0.0228319,0.0589941,0.018213,-
exp1_400_400_5_3.txt,2278,1492,12154,1425,1356,1356,1351.08,0.0326979,0.0229959,0.0921631,0.0223401,-
exp1_400_400_5_4.txt,2292,1496,12152,1444,1385,1385,1384,0.034029,0.0248773,0.0599318,0.0223148,-
exp1_400_400_5_5.txt,2166,1304,10175,1391,1306,1306,1300.88,0.0290065,0.0212045,0.0708315,0.0187557,-
exp1_600_600_5_1.txt,3345,2088,16833,2178,2053,2053,2043.65,0.0639153,0.0464768,0.146879,0.0347929,-
exp1_600_600_5_2.txt,3226,2162,16603,2098,1998,1998,1989.47,0.0679531,0.0455599,0.135245,0.0330372,-
exp1_600_600_5_3.txt,3336,2100,17705,2100,2014,2014,2001.94,0.0508013,0.0481503,0.202345,0.0401075,-
exp1_600_600_5_4.txt,3160,2074,15641,2009,1917,1917,1912.5,0.0490739,0.0471752,0.0860915,0.0286312,-
exp1_600_600_5_5.txt,3260,2018,15796,2077,1983,1983,1975.67,0.0489032,0.0442045,0.144785,0.0294483,-
exp1_200_200_10_1.txt,1960,1058,14047,1251,1184,1184,1171.62,0.0236721,0.00728631,0.188138,0.0456975,-
exp1_200_200_10_2.txt,1917,1028,14008,1210,1134,1134,1128.82,0.0247478,0.00762057,0.506513,0.0440812,-
exp1_200_200_10_3.txt,1895,1006,12784,1240,1172,1172,1164.2,0.0421846,0.00708461,0.70408,0.0512042,-
exp1_200_200_10_4.txt,2122,1184,16750,1334,1246,1246,1238.77,0.0278304,0.00740528,1.30109,0.0784004,-
exp1_200_200_10_5.txt,2047,1116,15802,1301,1222,1222,1213.78,0.0273921,0.00813818,0.912817,0.0674832,-
exp1_400_400_10_1.txt,4515,2390,37732,2676,2543,2543,2534.27,0.0631907,0.025135,2.23723,0.0904136,-
exp1_400_400_10_2.txt,4428,2374,35696,2674,2495,2495,2483.66,0.0612628,0.0249901,1.73282,0.0717049,-
exp1_400_400_10_3.txt,4063,2206,31772,2466,2299,2299,2295.09,0.0787592,0.0245402,0.836862,0.0555816,-
exp1_400_400_10_4.txt,4326,2336,33867,2652,2501,2501,2495.31,0.0601666,0.0234652,0.75455,0.0789523,-
exp1_400_400_10_5.txt,4117,2182,30672,2508,2360,2360,2355.74,0.0562189,0.0244873,0.612304,0.0587056,-
exp1_600_600_10_1.txt,5871,3262,42804,3628,3409,3409,3396.24,0.106302,0.059907,2.14828,0.0859628,-
exp1_600_600_10_2.txt,5874,3400,45519,3553,3378,3378,3367.25,0.0892756,0.0485308,4.73829,0.0908566,-
exp1_600_600_10_3.txt,5980,3264,44649,3602,3410,3410,3400.85,0.104497,0.0482297,0.699016,0.0788329,-
exp1_600_600_10_4.txt,6203,3376,48657,3684,3515,3515,3495.89,0.0903256,0.0621963,9.8363,0.0976713,-
exp1_600_600_10_5.txt,6034,3182,44382,3692,3478,3478,3456.8,0.0859628,0.0469098,21.3846,0.0859356,-
exp1_200_200_20_1.txt,4108,1964,54917,2584,2446,2446,2442.85,0.0837891,0.00994873,6.60411,0.141951,-
exp1_200_200_20_2.txt,3664,1698,42398,2365,2215,2215,2209.98,0.0498035,0.00894856,3.27173,0.106773,-
exp1_200_200_20_3.txt,3274,1712,42120,2103,1960,1960,1951,0.0509391,0.00854611,5.72134,0.0946882,-
exp1_200_200_20_4.txt,3302,1576,34989,2170,2024,2024,2013.35,0.0498445,0.00974655,4.47476,0.0849109,-
exp1_200_200_20_5.txt,3363,1696,38951,2271,2104,2104,2100.31,0.0475435,0.00916457,1.75998,0.0871122,-
exp1_400_400_20_1.txt,8169,3918,105356,4790,4577,4577,4564.03,0.148539,0.0280185,297.132,0.286869,-
exp1_400_400_20_2.txt,7897,4176,109790,4622,4422,4422,4412.63,0.145746,0.0261791,291.323,0.331422,-
exp1_400_400_20_3.txt,7840,4084,103082,4632,4388,4388,4380.99,0.124799,0.0279601,239.781,0.287624,-
exp1_400_400_20_4.txt,7998,3842,100047,4781,4513,4513,4504.31,0.143518,0.0284762,306.802,0.263774,-
exp1_400_400_20_5.txt,8128,4050,110269,4973,4657,4657,4634.64,0.135143,0.029171,146.959,0.40483,-
exp1_600_600_20_1.txt,12373,6072,165432,7074,6775,6774,6760.18,0.223738,0.0533376,1800.01,0.560006,-
exp1_600_600_20_2.txt,11600,5832,148078,6788,6464,6460,6449.56,0.205444,0.0550821,1800.02,0.452274,-
exp1_600_600_20_3.txt,11605,5874,150852,6650,6356,6354,6344.43,0.220539,0.0547445,1800.01,0.444578,-
exp1_600_600_20_4.txt,11475,5788,145211,6586,6281,6281,6272.65,0.188979,0.0574479,664.691,0.400081,-
exp1_600_600_20_5.txt,11698,5954,159221,6754,6435,6431,6417.62,0.225889,0.0499249,1800.05,0.447176,-
exp1_200_200_40_1.txt,5930,2912,113996,4473,4024,4024,4013.8,0.126935,0.0124466,77.9469,0.545763,-
exp1_200_200_40_2.txt,5946,2988,126632,4226,3774,3774,3762.68,0.118782,0.0127685,40.6598,0.57917,-
exp1_200_200_40_3.txt,5847,2686,109315,4326,3954,3954,3930.15,0.105513,0.0130978,26.2798,0.32593,-
exp1_200_200_40_4.txt,6764,3322,149875,4860,4301,4301,4294.95,0.160871,0.0140889,46.9136,0.766534,-
exp1_200_200_40_5.txt,6137,2910,127279,4337,3993,3993,3987.39,0.118318,0.0129099,35.6672,0.510504,-
exp1_400_400_40_1.txt,15587,7510,416704,9155,8677,8659,8645.41,0.37333,0.0365682,1800.01,3.51861,-
exp1_400_400_40_2.txt,16314,7604,436068,10280,9559,9553,9535.45,0.372356,0.039062,1800.02,5.41959,-
exp1_400_400_40_3.txt,13739,6138,297938,8572,8076,8072,8062.76,0.282288,0.0336924,1800.04,1.4657,-
exp1_400_400_40_4.txt,15731,7198,372160,9902,9269,9264,9254.89,0.350991,0.0380466,1800.02,2.87543,-
exp1_400_400_40_5.txt,15642,7326,381517,9916,9189,9179,9169.62,0.347393,0.0374184,1800.01,3.01937,-
